X,Y,pred,s
1514143.04,-3635174.1,16.431103,3.411368
1514153.04,-3635174.1,16.544114,3.413217
1514163.04,-3635174.1,16.656751,3.415785
1514173.04,-3635174.1,16.769003,3.419116
1514183.04,-3635174.1,16.880859,3.42325
1514193.04,-3635174.1,16.992311,3.428229
1514203.04,-3635174.1,17.103351,3.434089
1514213.04,-3635174.1,17.211995,3.440581
1514223.04,-3635174.1,17.304639,3.445567
1514233.04,-3635174.1,17.396858,3.451165
1514243.04,-3635174.1,17.488654,3.4574
1514253.04,-3635174.1,17.580029,3.464289
1514263.04,-3635174.1,17.670993,3.471846
1514273.04,-3635174.1,17.761555,3.480078
1514283.04,-3635174.1,17.851731,3.488986
1514293.04,-3635174.1,17.941539,3.498563
1514303.04,-3635174.1,18.030999,3.508799
1514313.04,-3635174.1,18.146994,3.518993
1514323.04,-3635174.1,18.474419,3.527569
1514333.04,-3635174.1,18.801578,3.542375
1514343.04,-3635174.1,19.128501,3.563313
1514353.04,-3635174.1,19.455221,3.590249
1514363.04,-3635174.1,19.781773,3.623022
1514373.04,-3635174.1,20.108191,3.661449
1514383.04,-3635174.1,20.434509,3.705324
1514393.04,-3635174.1,20.760764,3.754428
1514403.04,-3635174.1,21.086988,3.808533
1514413.04,-3635174.1,21.349877,3.860577
1514423.04,-3635174.1,21.113505,3.861097
1514433.04,-3635174.1,20.877202,3.862006
1514443.04,-3635174.1,20.640997,3.863285
1514453.04,-3635174.1,20.404919,3.864915
1514463.04,-3635174.1,20.168997,3.866879
1514473.04,-3635174.1,19.933256,3.869164
1514483.04,-3635174.1,19.697722,3.87176
1514493.04,-3635174.1,19.462416,3.874658
1514503.04,-3635174.1,19.227361,3.877852
1514513.04,-3635174.1,18.997813,3.880247
1514523.04,-3635174.1,18.809841,3.875333
1514533.04,-3635174.1,18.622174,3.872569
1514543.04,-3635174.1,18.434828,3.871967
1514553.04,-3635174.1,18.247818,3.873538
1514563.04,-3635174.1,18.061157,3.877291
1514573.04,-3635174.1,17.874856,3.883235
1514583.04,-3635174.1,17.688926,3.891378
1514593.04,-3635174.1,17.503376,3.901726
1514143.04,-3635164.1,16.54346,3.420099
1514153.04,-3635164.1,16.639129,3.422735
1514163.04,-3635164.1,16.734448,3.425917
1514173.04,-3635164.1,16.829408,3.429683
1514183.04,-3635164.1,16.924003,3.434072
1514193.04,-3635164.1,17.018227,3.43912
1514203.04,-3635164.1,17.112072,3.444863
1514213.04,-3635164.1,17.206387,3.45115
1514223.04,-3635164.1,17.30702,3.456637
1514233.04,-3635164.1,17.407269,3.462689
1514243.04,-3635164.1,17.507137,3.469327
1514253.04,-3635164.1,17.60663,3.47657
1514263.04,-3635164.1,17.705754,3.484428
1514273.04,-3635164.1,17.804522,3.49291
1514283.04,-3635164.1,17.902947,3.502015
1514293.04,-3635164.1,18.001047,3.511741
1514303.04,-3635164.1,18.098841,3.522077
1514313.04,-3635164.1,18.222885,3.532454
1514323.04,-3635164.1,18.555831,3.5423
1514333.04,-3635164.1,18.888546,3.55854
1514343.04,-3635164.1,19.221059,3.581071
1514353.04,-3635164.1,19.553401,3.609751
1514363.04,-3635164.1,19.885602,3.644413
1514373.04,-3635164.1,20.217694,3.684863
1514383.04,-3635164.1,20.54971,3.730889
1514393.04,-3635164.1,20.881682,3.782263
1514403.04,-3635164.1,21.213642,3.838747
1514413.04,-3635164.1,21.479322,3.892748
1514423.04,-3635164.1,21.222407,3.891163
1514433.04,-3635164.1,20.965572,3.890005
1514443.04,-3635164.1,20.708846,3.889256
1514453.04,-3635164.1,20.452256,3.888901
1514463.04,-3635164.1,20.195828,3.888924
1514473.04,-3635164.1,19.939588,3.889315
1514483.04,-3635164.1,19.683558,3.890064
1514493.04,-3635164.1,19.427762,3.891163
1514503.04,-3635164.1,19.172219,3.89261
1514513.04,-3635164.1,18.922723,3.893584
1514523.04,-3635164.1,18.719041,3.889429
1514533.04,-3635164.1,18.515667,3.887373
1514543.04,-3635164.1,18.312615,3.887425
1514553.04,-3635164.1,18.109899,3.889595
1514563.04,-3635164.1,17.907531,3.893889
1514573.04,-3635164.1,17.705525,3.900315
1514583.04,-3635164.1,17.503889,3.908879
1514593.04,-3635164.1,17.302633,3.919584
1514143.04,-3635154.1,16.769741,3.428718
1514153.04,-3635154.1,16.835398,3.43225
1514163.04,-3635154.1,16.900729,3.436109
1514173.04,-3635154.1,16.965729,3.44033
1514183.04,-3635154.1,17.030391,3.444949
1514193.04,-3635154.1,17.094714,3.450001
1514203.04,-3635154.1,17.158692,3.455517
1514213.04,-3635154.1,17.227811,3.461459
1514223.04,-3635154.1,17.339838,3.46736
1514233.04,-3635154.1,17.451519,3.473773
1514243.04,-3635154.1,17.56286,3.480718
1514253.04,-3635154.1,17.673867,3.488212
1514263.04,-3635154.1,17.784547,3.496266
1514273.04,-3635154.1,17.894913,3.504887
1514283.04,-3635154.1,18.004977,3.514076
1514293.04,-3635154.1,18.114757,3.52383
1514303.04,-3635154.1,18.224271,3.534144
1514313.04,-3635154.1,18.35818,3.54469
1514323.04,-3635154.1,18.686105,3.556478
1514333.04,-3635154.1,19.013833,3.574457
1514343.04,-3635154.1,19.341392,3.598517
1514353.04,-3635154.1,19.668809,3.628519
1514363.04,-3635154.1,19.996114,3.664298
1514373.04,-3635154.1,20.323335,3.705665
1514383.04,-3635154.1,20.650503,3.752414
1514393.04,-3635154.1,20.977647,3.804327
1514403.04,-3635154.1,21.304799,3.861172
1514413.04,-3635154.1,21.564837,3.915245
1514423.04,-3635154.1,21.295609,3.912702
1514433.04,-3635154.1,21.026474,3.910633
1514443.04,-3635154.1,20.757458,3.909024
1514453.04,-3635154.1,20.488588,3.90786
1514463.04,-3635154.1,20.219889,3.907129
1514473.04,-3635154.1,19.951383,3.906822
1514483.04,-3635154.1,19.683094,3.906929
1514493.04,-3635154.1,19.415043,3.907445
1514503.04,-3635154.1,19.147249,3.908366
1514513.04,-3635154.1,18.884608,3.908987
1514523.04,-3635154.1,18.660704,3.905261
1514533.04,-3635154.1,18.437109,3.90338
1514543.04,-3635154.1,18.213838,3.903353
1514553.04,-3635154.1,17.990905,3.905189
1514563.04,-3635154.1,17.768321,3.908896
1514573.04,-3635154.1,17.546099,3.914481
1514583.04,-3635154.1,17.324248,3.92195
1514593.04,-3635154.1,17.102778,3.931311
1514143.04,-3635144.1,16.995156,3.438373
1514153.04,-3635144.1,17.030824,3.442548
1514163.04,-3635144.1,17.06619,3.446893
1514173.04,-3635144.1,17.10125,3.451442
1514183.04,-3635144.1,17.136001,3.456229
1514193.04,-3635144.1,17.170442,3.461284
1514203.04,-3635144.1,17.204571,3.466638
1514213.04,-3635144.1,17.248512,3.47233
1514223.04,-3635144.1,17.371947,3.478518
1514233.04,-3635144.1,17.495074,3.485185
1514243.04,-3635144.1,17.617898,3.49235
1514253.04,-3635144.1,17.740428,3.500025
1514263.04,-3635144.1,17.862671,3.508224
1514273.04,-3635144.1,17.984638,3.516952
1514283.04,-3635144.1,18.106344,3.526211
1514293.04,-3635144.1,18.227804,3.536001
1514303.04,-3635144.1,18.349036,3.546315
1514313.04,-3635144.1,18.492807,3.557057
1514323.04,-3635144.1,18.815706,3.570714
1514333.04,-3635144.1,19.138442,3.590364
1514343.04,-3635144.1,19.46104,3.615896
1514353.04,-3635144.1,19.783525,3.647171
1514363.04,-3635144.1,20.105925,3.684026
1514373.04,-3635144.1,20.428266,3.726278
1514383.04,-3635144.1,20.750577,3.773726
1514393.04,-3635144.1,21.072886,3.826161
1514403.04,-3635144.1,21.395219,3.88336
1514413.04,-3635144.1,21.649609,3.937494
1514423.04,-3635144.1,21.368061,3.933935
1514433.04,-3635144.1,21.086619,3.930935
1514443.04,-3635144.1,20.805308,3.92848
1514453.04,-3635144.1,20.524153,3.926559
1514463.04,-3635144.1,20.243178,3.925162
1514473.04,-3635144.1,19.962404,3.92428
